Response,original_response,Response_id
"The music felt upbeat and ambitious. I disliked how many fast the scene cuts were, however, I could still understand what I was seeing. I disliked the cuts because I personally like moments of pause to consider a scene in depth. I understand that is not how most ads are shot. After the ad finished I was wondering what RBC Training Ground is about. I was reminded of playing hockey as a kid. I miss that. If I had kids I would encourage them to be in sports.","The music felt upbeat and ambitious. I disliked how many fast the scene cuts were, however, I could still understand what I was seeing. I disliked the cuts because I personally like moments of puase to consider a scene in depth. I understand that is not how most ads are shot. After the ad finished I was wondering what RBC Training Ground is about. I was reminded of playing hockey as a kid. I miss that. If I had kids I would encourage them to be in sports.",202
TURNING HOBBIES INTO CAREERS WILL MAKE LIFE MORE INTERESTING AND THRILLING,TURNING HOBBIES INTO CAREERS WILL MAKE LIFE MORE INTERESTING AND THRILLING,187
It looked nice,It looked nice,115
i want to take part in,i want to take part in,272
I think it was really interesting,I think it was really interesting,84
good for the kids,good for the kids,251
Made me want to go outside and exercise,Made me want to go outside and exercice,157
"I did not expect it to be from RBC Bank, but the ad itself was very nice. It also said that you can register for free, which I thought was cool.","I did not expect it to be from RBC Bank, but the ad itself was very nice. It also said that you can register for free, which I thought was cool.",39
I liked it. It was sweet the portrayal of how a kid gets into sports. I didn't really understand what it was an add for though.,I liked it. It was sweet the portrayal of how a kid gets into sports. I didn't really understand what it was an add for though.,62
"I like it, the energy, music and visuals were entertaining","I like it, the energy, music and visuals were entertaining",54
"I liked it, but not a huge fan of the graphics. I think focusing on the athletes is key here, and the words and shapes popping up take away from that.","I liked it, but not a huge fan of the graphics. I think focusing on the athletes is key here, and the words and shapes popping up take away from that.",58
I didn't know that RBC had this program.  I think it's great!!!!  I think they should advertise this more so more people can register for this.,I didn't know that RBC had this program.  I think it's great!!!!  I think they should advertise this more so more people can register for this.,40
i think the ad was fun to watch.,i think the ad was fun to watch.,269
"The style of the ad is very reminiscent of something from the 1990's which evoked some nostalgia of childhood, but there were also a ton of flashing images which were quite dizzying and could be an epileptic trigger. The whole thing encompassed the words ""inspiring"" and ""persistence"".","The style of the ad is very reminiscent of something from the 1990's which evoked some nostalgia of childhood, but there were also a ton of flashing images which were quite dizzying and could be an epileptic trigger. The whole thing encompassed the words ""inspiring"" and ""persistence"".",203
"colorful, energetic, cool visuals, active","colorful, energetic, cool visuals, active",230
"The heartbeat has to be more heard. Like it's actually professional, and theres no talks of money whatsoever even though it's an ad from a bank.. Like maybe ""we help you achieve"" or something id","The heartbeat has to be more heard. Like it's actually professional, and theres no talks of money whatsoever even though it's an ad from a bank.. Like maybe ""we help you achieve"" or osmething idk",201
i like the kids.,i like the kids.,263
"I really enjoyed the art direction of it, the pacing was incredibly strong. I'm normally pretty picky about commercials because I hate them, but this one was able to get my attention and make me smile a bit. I liked pretty much everything.","I really enjoyed the art direction of it, the pacing was incredibly strong. I'm normally pretty picky about commercials because I hate them, but this one was able to get my attention and make me smile a bit. I liked pretty much everything.",75
i liked it. it was really cute and was informative on the product/service it was advertising,i liked it. it was really cute and was informative on the product/service it was advertising,264
it was super busy,it was super busy,309
"Active, fun, youthful","Active, fun, youthful",3
it was inspiring i think it made me feel like i could accomplish a lot and is over all a nice ad,it was inspiring i think it made me feel like i could accomplish a lot and is over all a nice ad,304
i like the ad,i like the ad,262
"Nostalgic, palatable, fun, different, although some clips were shown a little too fast, it was very cohesive","Nostalgic, relatable, fun, different, although some clips were shown a little too fast, it was very cohesive",163
RBC Training Ground,RBC Training Ground,172
Really like the picture of people in action.,Really like the picture of people in action.,176
"It was entertaining, but too much going on. everything was too fast with too many words and colors. it was over stimulating","It was entertaining, but too much going on. everything was too fast with too many words and colours. it was over stimulating",130
I find it very cool and interesting and it just is motivating,I find it very cool and interesting and it just is motivating,49
Sports and healthy children.,Sports and healthy children.,183
It was a really good ad for 30 seconds.,It was a really good ad for 30 seconds.,125
"Too busy, cuts from scene to scene too fast","Too busy, cuts from scene to scene too fast",210
it appealed to younger people like myself who are interested in sports,it appealed to younger people like myself who are interested in sports,285
It was good and encourages kids to play sports,It was good and encourages kids to play sports,133
busy and active,busy and active,228
Intriguing,Intriguing,107
I liked that it included an diverse cast with lots of different sports summer and winter,I liked that it included an diverse cast with lots of different sports summer and winter,63
I liked the visual effects in the video,I liked the visual effects in the video,70
it was fun and short to watch.,it was fun and short to watch.,299
Quick,Quick,171
I really liked the music choice and the editing. I like how many different sports were chosen and that different children of different ages were in the ad. I liked the colors used in the editing. The add made me want to move and be active.,I really liked the music choice and the editing. I like how many different sports were chosen and that different children of different ages were in the ad. I liked the colours used in the editing. The add made me want to move and be active.,79
"I thought the ad was very eye catching and engaging, which is what ads should be.","I thought the ad was very eye catching and engaging, which is what ads should be.",93
I find the concept interesting because it is simple to understand what its about. I enjoy watching it but the end is kind of abrupt.,I find the concept interesting because it is simple to understand what its about. I enjoy watching it but the end is kind of abrupt.,50
A good ad,A good ad,0
"It's a great idea and an interesting ad to watch, it's not boring. However, the ad is not informative either. All viewers know is that it's free to register and its a program offered by RBC bank. They didn't saw who can register, does it have an age limit, what types of training are offered, is it just for RBC clients/bank owners or open to everyone...We can't really tell because the add didn't mention it.","It's a great idea and an interesting ad to watch, it's not boring. However, the ad is not informative either. All viewers know is that it's free to register and its a program offered by RBC bank. They didn't saw who can register, does it have an age limit, what types of training are offered, is it just for RBC clients/bank owners or open to everyone...We can't really tell because the add didn't mention it.",150
The visual effects were very interesting and made me pay attention to the ad,The visual effects were very interesting and made me pay attention to the ad,204
"encouraged to start doing something with my life : sport, activity, hobby etc","encouraged to start doing something with my life : sport, activity, hobby etc",237
Ad was fast paced,Ad was fast paced,5
"it was very entertaining to follow, even considering the fact that it didn't apply to me personally","it was very entertaining to follow, even considering the fact that it didn't apply to me personally",310
I thought it was cool,I thought it was cool,91
It was upbeat and involved a lot of children exercising which isn't something you see everyday.,It was upbeat and involved a lot of children exercising which isn't something you see everyday.,145
i like it,i like it,260
It was nice,It was nice,139
I liked the ad because it wasn't long and it wasn't short. I didn't get bored and it had an upbeat rhythm to it,I liked the ad because it wasn't long and it wasn't short. I didn't get bored and it had an upbeat rhythm to it,65
"Olympics, training, handwork","Olympics, training, hardwork",165
It was interesting something I'd check out,It was interesting something I'd check out,138
I think the side panels when showing a video recorded in portrait mode were a little distractive. Overall it was a good ad.,I think the side panels when showing a video recorded in portrait mode were a little distractive. Overall it was a good ad.,90
"i felt inspired, a little interested as well, but i could feel my attention drifting away at times","i felt inspired, a little interested as well, but i could feel my attention drifting away at times",258
exciting,exciting,243
"Overall good concept and got the idea/message across, however a bit too many effects at once.","Overall good concept and got the idea/message across, however a bit too many effects at once.",166
I think it was empowering and hopeful,I think it was empowering and hopeful,83
"I think it was a commercial ad for anyone who is really interested in sports. When it came up and it showed a variety of sports like basketball, soccer in the video I knew it for sure it's for anyone interested in getting to an active lifestyle and sports.","I think it was a commercial ad for anyone who is really interested in sports. When it came up and it showed a variety of sports like basketball, soccer in the video I knew it for sure it's for anyone interested in getting to an active lifestyle and sports.",82
"It is energetic, flashy, wholesome, quickly edited, and optimistic.","It is energetic, flashy, wholesome, quickly edited, and optimistic.",110
"It didn't provide a lot of clear information about precisely what was being offered, but did give the general impression that sports involvement was a key feature of the program. The visuals and general story of the ad was clear, a nice progression. Overall, I liked it and it didn't feel overwhelmingly corporate, but it did remain professional as well.","It didn't provide a lot of clear information about precisely what was being offered, but did give the general impression that sports involvement was a key feature of the program. The visuals and general story of the ad was clear, a nice progression. Overall, I liked it and it didn't feel overwhelmingly corporate, but it did remain professional as well.",109
good socio,good soso,252
Motivating,Motivating,158
great for the athlete,great for the athlete,253
sports as a kid,sports as a kid,339
"People playing sports as a hobby at first, but then turns into something they could do for a living.","People playing sports as a hobby at first, but then turns into something they could do for a living.",168
SPORTS,SPORTS,178
It made me think about Sports and the sudden urge to get active.,It made me think about Sports and the sudden urge to get active.,117
It was inspiring,It was inspiring,136
inspiring,inspiring,276
excited,excited,241
"What came to mind was that what you like when you're younger will follow you till you're old, but the question is, will you follow what you like until you're older?","What came to mind was that what you like when you're youger will follow you till you're old, but the question is, will you follow what you like until you're older?",218
IT felt meaningful and hopeful. I liked that it looked towards a successful future for kids.,IT felt meaningful and hopeful. I liked that it looked towards a successful future for kids.,97
I think it is a well done ad for sports for children. It gives the feeling of wanting to be motivated,I think it is a well done ad for sports for children. It gives the feeling of wanting to be motivated,81
"Neutral, bored, not relevant to me","Neutral, bored, not relevant to me",161
Having conversation with a specialist from RBC,Having conversation with a specialist from RBC,33
At first I thought that this is shoe ad.,At first I thought that this is shoe ad.,7
it was pretty exciting,it was pretty exciting,308
hello,hello,255
I felt like the screen was too flashy. But I liked how many different activities were shown.,I felt like the screen was too flashy. But I liked how many different activities were shown.,45
There is too many clashing and flashing colors.,There is too many clashing and flashing colours.,206
it was inspiring to take a child through stages of what can be a career,it was inspiring to take a child through stages of what can be a career,305
Should say it was boring and fast,Should say it was boring and fast,180
"the purpose of a sport can evolve the longer you play, from fun to a full on athlete. It all starts at RBC training ground","the purpose of a sport can evolve the longer you play, from fun to a full on athlete. It all starts at RBC training ground",345
"Energetic, cool, bright, eye catching, not exactly sure what its about though","Energetic, cool, bright, eye catching, not exactly sure what its about though",15
its good and informative,its good and informative,317
It was nice. It didn't look any different than many other commercials but it wasn't unpleasant to watch.,It was nice. It didn't look any different than many other commercials but it wasn't unpleasant to watch.,141
"It was nice, and heart warming","It was nice, and heart warming",140
"The ad is very well edited,i love the music but i feel like its too fast and i couldNT get a proper look at the images or the movements.","The ad is very well edited,i love the music but i feel like its too fast and i couldnt get a proper look at the images or the movements.",192
"cool, fun, good initiative to support youth and the community. Active and intense, interesting to watch and kept me engaged","cool, fun, good initiative to support youth and the community. Active and intense, interesting to watch and kept me engaged",233
I felt someone inspired and intrigued. The ad was exciting and captivating and I somewhat enjoyed watching it. I especially enjoyed the inclusion of the free skiing clip.,I felt someone inspired and intrigued. The ad was exciting and captivating and I somewhat enjoyed watching it. I especially enjoyed the inclusion of the freeskiing clip.,47
I think of athletes and sports,I think of athletes and sports,88
"It was fine and communicated the message, it was just kind of plain and bland","It was fine and communicated the message, it was just kind of plain and bland",132
Sports,Sports,182
inspiring,inspiring,276
"Too much going on, the video clips were super interesting however all the cartoon and animations gave me a headache, cool concept tho","Too much going on, the videoclips were super interesting however all the cartoon and animations gave me a headache, cool concept tho",211
"I really enjoyed the sports montage mixed with cool, comic looking effects and filters. I found it very fresh and relevant right now. However, some of the filters and whatnot felt very different from others making it feel busy and hurting my eyes with the quick dramatic effect changes. It would be better if they stuck with the blue and yellow cartoon effects throughout.","I really enjoyed the sports montage mixed with cool, comic looking effects and filters. I found it very fresh and relevant right now. However, some of the filters and whatnot felt very different from others making it feel busy and hurting my eyes with the quick dramatic effect changes. It would be better if they stuck with the blue and yellow cartoon effects throughout.",76
This is very similar to my journey with guitar. It was a grind.,This is very similar to my journey with guitar. It was a grind.,209
it was very nice and intriguing,it was very nice and intriguing,311
Innovative concept,Innovative concept,100
It was very cool. I felt connected to the athletes,It was very cool. I felt connected to the athletes,146
"Pretty good ad, gets to the point and does shove everything in your face at once","Pretty good ad, gets to the point and does shove everything in your face at once",170
"Indifferent, i doNT care, bland.","Indifferent, i dont care, bland.",99
intrigued what the product or service it was for,intrigued what the product or service it was for,283
family,family,246
average,average,223
very high passed and fast moving,very high passed and fast moving,352
i like that rec is trying to get people more active,i like that rbc is trying to get people more active,261
it was engaging and fun to watch,it was engaging and fun to watch,298
there were too many videos all at once. if the time between when they got switched was longer it could be more focusing because it was too much at once,there were too many videos all at once. if the time between when they got switched was longer it could be more focusing because it was too much at once,346
It would appeal to athletic people.,It would appeal to athletic people.,148
interesting ad,interesting ad,280
hope,hope,256
I didn't quite understand,I didn't quite understand,41
It is very interesting i like to attend the RBC Training Ground,It is very interesting i like to attend the RBC Training Ground,112
motivating for children,motivating for children,323
"i really like the editing and transitions between the clips. the voice over was great too, it was enough to get me interested, but not too much that it's annoying.","i really like the editing and transitions between the clips. the voice over was great too, it was enough to get me interested, but not too much that it's annoying.",265
fun entertaining a lot of sports,fun entertaining a lot of sports,248
"fun, exciting","fun, exciting",249
it was an add so i pretty well ignored it,it was an add so i pretty well ignored it,297
"First of all, the AD was good, I normally hate ads and even have an Ads blocker. But this AD sent shivers down my spine and I wouldn't mind seeing Ads like that. Second, I noticed that it's specifically targeted toward young adult in accordance to their hobbies. It's a good idea and as a young adult, this AD really picked my interest. It wasn't too fast paced and was easy to follow. However, I'd say that it might be a good idea to tone down on the colors a bit. If the target audience is young adult, color that pop right into your face make you feel like you're seen as a complete child. While colors and shapes are fun, if you show you present your AD like you'd show to a child, teenagers and young adult will feel less recognized for their maturity. But overall, I see nothing wrong with it and I quite honestly enjoyed it. Just take a moment to rethink about how often splash of colors appear and maybe take out 1 of these transition or make it more gray-scaled for a transition from childhood to teenage hood. It would really reflect growth and changes, that a simple fun hobby can become a lot more. But that's just my personal opinion.","First of all, the AD was good, I normally hate ads and even have an ADs blocker. But this AD sent shivers down my spine and I wouldn't mind seeing ADs like that. Second, I noticed that it's specifically targeted toward young adult in accordance to their hobbies. It's a good idea and as a young adult, this AD really picked my interest. It wasn't too fast paced and was easy to follow. However, I'd say that it might be a good idea to tone down on the colours a bit. If the target audiance is young adult, colour that pop right into your face make you feel like you're seen as a complet child. While colours and shapes are fun, if you show you present your AD like you'd show to a child, teenagers and young adult will feel less recognised for their maturity. But overall, I see nothing wrong with it and I quite honestly enjoyed it. Just take a moment to rethink about how often splash of colours appear and maybe take out 1 of these transition or make it more gray-scaled for a transition from childhood to teenagehood. It would really reflect growth and changes, that a simple fun hobby can become a lot more. But that's just my personal opinion.",25
beans,beans,226
"I'm a really good basketball player, so seeing a basketball made my day and now I believe that I'll be making it one day. I'd take any opportunities that came my way.","I'm a really good basketball player, so seeing a basketball made my day and now I believe that I'll be making it one day. I'd take any opportunities that came my way.",96
"i thought it was interesting, a little fast paced and the music was louder than the girl talking","i thought it was interesting, a little fast paced and the music was louder than the girl talking",271
it very colorful,it very colourful,296
i was inspired,i was inspired,273
it was good I liked watching the kids play sports,it was good I liked watching the kids play sports,302
It was short and cool,It was short and cool,144
I felt young and energized. The ad made me want to get up and be active.,I felt young and energized. The ad made me want to get up and be active.,48
"I found the editing was well done, and eye catching.","I found the editing was well done, and eye catching.",51
I liked it.  I liked seeing all the different athletes and sports😃,I liked it.  I liked seeing all the different athletes and sports😃,60
Flowed well and had interesting visuals. Good ad.,Flowed well and had interesting visuals. Good ad.,26
"I didn't really care, what was the purpose of this ad anyways?","I didn't really care, what was the purpose of this ad anyways?",42
rec training ground look really cool,rbc training ground look really cool,332
rec is sponsoring a training place for kids,rbc is sponsoring a training place for kids,329
it starts as a little game,it starts as a little game,294
"The voice is not charming, and the visuals could be better and more interesting","The voice is not charming, and the visuals could be better and more interesting",205
"inspiring, psychedelic, hero narrative, group narrative","inspiring, psychedelic, hero narrative, group narrative",278
"Exciting, Fast-paced, motivating, inclusive","Exciting, Fast-paced, motivating, inclusive",18
"I think it’s great , showing kids and teens being active","I think it’s great , showing kids and teens being active",87
"young, fun, sporty","young, fun, sporty",353
It was great. good stuff for an ad,It was great. good stuff for an ad,135
"It's nice to help the kids, but what do I get out of it?","It's nice to help the kids, but what do I get out of it?",151
I like how it catered to all types of youth athletes,I like how it catered to all types of youth athletes,52
It's very exciting,It's very exciting,153
They showed sports and sports are sick.,They showed sports and sports are sick.,207
"I liked how the scenes cut suddenly and  choppily, it was aesthetically pleasing. I felt stimulated by the sudden changes in images, the colors, and the activities portrayed.","I liked how the scenes cut suddenly and  choppily, it was aesthetically pleasing. I felt stimulated by the sudden changes in images, the colours, and the activities portrayed.",57
"it's inspiring, very cool, very dynamic. the edition is great, makes it look very hip and young, and it's well done for the target audience","it's inspiring, very cool, very dynamic. the edition is great, makes it look very hip and young, and it's well done for the target audience",314
"It was good, very interesting","It was good, very interesting",134
its good,its good,316
It seemed kind of like a video game advertisement,It seemed kind of like a video game advertisement,122
Interested in checking out,Interested in checking out,104
"It was of excellent visual quality and triggered a certain amount of curiosity as the ad did not describe in the least what RBC Training Ground is. As well, the ad made me think of some of my younger cousins who have athletic inspirations and dreams.","It was of excellent visual quality and triggered a certain amount of curiosity as the ad did not describe in the least what RBC Training Ground is. As well, the ad made me think of some of my younger cousins who have athletic inspirations and dreams.",142
promising,promising,328
I liked it. I thought the ad kept me engaged and the music was curated perfectly.,I liked it. I thought the ad kept me engaged and the music was curated perfectly.,61
Happy,Happy,32
this ad was amazing it kept me interested to see whats going on . It even made me want to switch banks lo,this ad was amazing it kept me intrested to see whats going on . It even made me want to switch banks lol,348
"I was slightly confused. I knew of RBC, the banking company, but didn't understand what the training ground was.","I was slightly confused. I knew of RBC, the banking company, but didn't understand what the training ground was.",94
"Honestly, energetic and inviting. Colorful and skeptic.","Honestly, energetic and inviting. Colorful and skeptic.",35
"modern, high quality","modern, high quality",322
i thought it moved really fast and was a bit overwhelming. I also thought the graphics (like the yellow and blue ones) were very dated and a little tacky,i thought it moved really fast and was a bit overwhelming. I also thought the graphics (like the yellow and blue ones) were very dated and a little tacky,270
"Royal Bank of Canada is an instrumental part of the Canadian identity, reminds me of the stock.","Royal Bank of Canada is an instrumental part of the Canadian identity, reminds me of the stock.",177
it reminded me of my training camp when I was in high school that they also had a similar kind of training like swimming etc. which all the high school students would love to do,it reminded me of my training camp when I was in high school that they also had a similar kind of training like swimming etc. which all the high school students would love to do,291
seems interesting but the transitions from too many images made me a bit disoriented.,seems interesting but the transitions from too many images made me a bit disoriented.,335
Nothing special but to the point and direct,Nothing special but to the point and direct,164
"lots of sports, don't know what the ad is for until the end. I am not interested in sports.","lots of sports, don't know what the ad is for until the end. I am not interested in sports.",320
chm Horton soccer camp,tim hortons soccer camp,229
It was alright. I didn't understand the overall message though.,It was alright. I didn't understand the overall message though.,127
Exciting,Exciting,17
"nothing much to be honest, lots of kids and joy","nothing much to be honest, lots of kids and joy",325
interesting,interesting,279
It looked a bit generic.,It looked a bit generic.,114
Growth.,Growth.,31
I thought it was intriguing,I thought it was intriguing,92
I love how they did soccer very well.,I love how they did soccer very well.,72
Its not bad but I think it needs a few more words,Its not bad but I think it needs a few more words,154
"Seems a bit trite, but cute. Clearly an awareness of not having it be too white, but still hard to tell sincerity","Seems a bit trite, but cute. Clearly an awareness of not having it be too white, but still hard to tell sincerity",179
amazing,amazing,221
it reminded me of playing sports as a young boy and still now as teenager,it reminded me of playing sports as a young boy and still now as teenager,292
Felt inspired by the females training and working out. Made me want to start working out again.,Felt inspired by the females training and working out. Made me want to start working out again.,24
"Wow, I've never though a bank would be associated with gymnastics. It's pretty neat!","Wow, I've never though a bank would be associated with gymnastics. It's pretty neat!",219
emotional,emotional,235
energy,energy,238
sport,sport,336
"The ad lost my attention early on because I assumed that it was for little kids or about a children's camp. If I was watching TV and this ad came up or on social media, they would've lost my demographic early on. The age transition has to happen earlier or at least some sort of CTA so I know that it is relevant for my age group","The ad lost my attention early on because I assumed that it was for little kids or about a children's camp. If I was watching tv and this ad came up or on social media, they would've lost my demographic early on. The age transition has to happen earlier or at least some sort of CTA so I know that it is relevant for my age group",193
The ad was very interesting as it shows how important sports can be for someone and their future of being in such.,The ad was very interesting as it shows how important sports can be for someone and their future of being in such.,197
"it was good, it wasn't to long and it was about sports which will catch some peoples attention","it was good, it wasn't to long and it was about sports which will catch some peoples attention",303
"It was inspiring, I wanted to visit their website. But, it was a little too flashy and hard to follow at some points.","It was inspiring, I wanted to visit their website. But, it was a little too flashy and hard to follow at some points.",137
"Very nice video editing, voice acting could use some work","Very nice video editing, voice acting could use some work",215
start small to grow big,start small to grow big,342
"Nice pacing and editing, the voice actor should be changed","Nice pacing and editing, the voice actor should be changed",162
"I liked the ad, it was riveting and caught my attention","I liked the ad, it was riveting and caught my attention",66
"I am intrigued by ""RBC Training Ground"" and feel as though I'd like to learn more! However, I feel like this is a program for youth.","I am intrigued by ""RBC Training Ground"" and feel as though I'd like to learn more! However, I feel like this is a program for youth.",37
excited,excited,241
"It was almost nostalgia inducing, the way it was shot and edited. The oldest looking footage made it feel like a home movie.","It was almost nostalgia inducing, the way it was shot and edited. The oldest looking footage made it feel like a home movie.",126
reminds me of summer,reminds me of summer,334
The ad was very motivating and was well shot,The ad was very motivating and was well shot,198
cool fun exciting rec charity,cool fun exciting rbc charity,232
awesome,awesome,224
they support the youth which is good with sports and things like that,they support the youth which is good with sports and things like that,347
I liked the ad. It got my attention and I liked that it had a lot of movement. It kept me awake and it was not boring.,I liked the ad. It got my attention and I liked that it had a lot of movement. It kept me awake and it was not boring.,67
"i was thinking about the Olympie or something like this, but i think that the message of the ad was to make kids do sport.","i was thinking about the olympique or something like this, but i think that the message of the ad was to make kids do sport.",274
I doNT feel like getting motivated to buy or use any services by RBC which is the reason to make an ad in the first place.,I dont feel like getting motivated to buy or use any services by RBC which is the reason to make an ad in the first place.,43
rec training ground - very interesting,rbc training ground - very interesting,331
its made me know about everything my age and it made me happy,its made me know about everything my age and it made me happy,319
"the Black children playing football was a stereotype I was surprised to see again- as it was showed first, it threw me off and I didNT really enjoy the rest of the video. It was very action packed, though","the Black children playing football was a stereotype I was surprised to see again- as it was showed first, it threw me off and I didnt really enjoy the rest of the video. It was very action packed, though",343
Action packed - shows you can achieve your dreams but could be for any training camp - not just RBC,Action packed - shows you can achieve your dreams but could be for any training camp - not just RBC,2
It made me feel motivated and made me think about my hobbies.,It made me feel motivated and made me think about my hobbies.,116
encouraged and empowered,encouraged and empowered,236
The ad was energetic,The ad was energetic,194
i don't get it like is it for anyone or just people who are going to be professionals?,i don't get it like is it for anyone or just people who are going to be professionals?,257
"it got the point across, but was simple","it got the point across, but was simple",287
happiness,happiness,254
"I felt adrenaline, me being an athlete having experienced what was showed in this ad, I could connect with it quiet well, it was exciting and had my attention the whole time.","I felt adrenaline, me being an athlete having experienced what was showed in this ad, I could connect with it quiet well, it was exciting and had my attention the whole time.",44
"I think it's kind of an inspiring message, but I mostly feel confused, because the ad doesn't explain what RBC training ground is, I don't understand it.","I think it's kind of an inspiring message, but I mostly feel confused, because the ad doesn't explain what RBC training ground is, I don't understand it.",86
sports give people energy and represents human strength,sports give people energy and represents human stength,341
it's awesome. i love sports and things that get the adrenaline pumping,it's awesome. i love sports and things that get the adrenaline pumping,312
"I Liked it! Im really athletic and I teach physic ed so the fact that it was sport based caught my attention right away. I also felt pretty inspired by it, it was a good length and it definitely was one of those adds that made you stop and actually pay attention. Also, I bank with RBC so it was nice to see that the add was for them!","I Liked it! Im really athletic and I teach physic ed so the fact that it was sport based caught my attention right away. I also felt pretty inspired by it, it was a good length and it definitely was one of those adds that made you stop and actually pay attention. Also, I bank with RBC so it was nice to see that the add was for them!",36
I noticed that the clothing and jerseys all matched the blue and gold colors of RBC - I found that effective.,I noticed that the clothing and jerseys all matched the blue and gold colours of RBC - I found that effective.,74
exercise,exercise,244
RBC is associated to Sports,RBC is associated to Sports,174
intrigued,intrigued,282
"The editing that was put into the ad was quite obnoxious, and may be hard for people with epilepsy to look at.","The editing that was put into the ad was quite obnoxious, and may be hard for people with epilepsy to look at.",199
Motivating,Motivating,158
Creative,Creative,10
It was eye-catching. The different sports made it fun to watch. The music in the background was nice too.,It was eye-catching. The different sports made it fun to watch. The music in the background was nice too.,131
I really like how extreme it was and how it showcased talented kids in sports,I really like how extreme it was and how it showcased talented kids in sports,77
Everybody can practice their sport,Everybody can pratice their sport,16
It was a good ad! I loved the quality of it :),It was a good ad! I loved the quality of it :),124
"Exciting, Inclusive, motivating","Exciting, Inclusive, motivating",19
Interesting.,Interesting.,106
I like the music and editing,I like the music and editing,55
"fast-paced, upbeat","fast-paced, upbeat",247
Palatable,Relatable,167
"Well-filmed, motivating advertisement.","Well-filmed, motivating advertisement.",216
as an athlete i would like to see the add on a TV. it is important to show kids and parents how to motivate themselves,as an athlete i would like to see the add on a tv. it is important to show kids and parents how to motivate themselves,222
"Amazement at the dedication of those who sign up for the training program and inspiration to turn my own hobbies (unfortunately not related to sports) into a more professional career. Reminds of the adds to apply to for the Olympics. Brightly colored and fun, told a decent story in a short time.","Amazement at the dedication of those who sign up for the training program and inspiration to turn my own hobbies (unfortunately not related to sports) into a more professional career. Reminds of the adds to apply to for the Olympics. Brightly coloured and fun, told a decent story in a short time.",6
it tracts athletes and makes them want to choose rec baby,it atracts athleats and makes them want to choose rbc baby,295
Inspired,Inspired,102
dreams can come true,dreams can come true,234
The ad felt high energy and exciting which was very suitable for the ad's subject matter.,The ad felt high energy and exciting which was very suitable for the ad's subject matter.,189
"Sporty, youth oriented, inspirational, visually appealing.","Sporty, youth oriented, inspirational, visually appealing.",184
it's inspiring to see such young kids getting started playing sports,it's inspiring to see such young kids getting started playing sports,313
"I liked the visuals, the colors, the action in the ad and the upbeat music","I liked the visuals, the colors, the action in the ad and the upbeat music",71
it made me feel stronger and bigger.,it made me feel stronger and bigger.,290
exciting,exciting,243
"It's a good ad, I'd like to recommend people sharing their story with the RBC Training ground","It's a good ad, I'd like to recommend people sharing their story with the RBC Training ground",149
f seafare d WA d,f eafadw d wa d,245
I think it captured the aspect of growing up with sports and developing a passion for them well,I think it captured the aspect of growing up with sports and developing a passion for them well,80
"I liked the content/videos that where inside the video, I liked the overall theme but it distracts from the main point.","I liked the content/videos that where inside the video, I liked the overall theme but it distracts from the main point.",68
Inspired,Inspired,102
